,As_of_Year,Respondent_Name_CR,State,Count,Sum,Median,Percentage,colors
259,2013,QUICKEN LOANS,WV,1798,267702,133.0,0.15949709636424408,#21058F
260,2013,SUNTRUST MORTGAGE INC,DC,750,363069,401.0,0.08083549762827413,#330497
261,2013,SUNTRUST MORTGAGE INC,DE,200,43315,191.5,0.020068821951116676,#330497
262,2013,SUNTRUST MORTGAGE INC,MD,5554,1961918,280.0,0.07709720733362625,#330497
263,2013,SUNTRUST MORTGAGE INC,VA,10665,2968064,218.0,0.09269810763767215,#330497
264,2013,SUNTRUST MORTGAGE INC,WV,324,46683,121.5,0.027813774083017707,#330497
265,2013,TOWNEBANK,VA,4009,896062,205.0,0.02798566733265448,#FCCB25
266,2013,TOWNEBANK,WV,1,202,202.0,0.00012035178469184878,#FCCB25
267,2013,USAA FEDERAL SAVINGS BANK,DC,173,57103,308.0,0.01271369745438839,#C6417C
268,2013,USAA FEDERAL SAVINGS BANK,DE,301,67345,221.0,0.031202465988640255,#C6417C
269,2013,USAA FEDERAL SAVINGS BANK,MD,1739,511431,285.0,0.020097629892708975,#C6417C
270,2013,USAA FEDERAL SAVINGS BANK,VA,2121,499867,227.0,0.015611767458693701,#C6417C
271,2013,USAA FEDERAL SAVINGS BANK,WV,382,68576,164.0,0.04085764350013971,#C6417C
272,2013,WELLS FARGO BANK NA,DC,2120,923562,354.0,0.20562646180358035,#0C0786
273,2013,WELLS FARGO BANK NA,DE,3122,650580,190.0,0.30142847015947105,#0C0786
274,2013,WELLS FARGO BANK NA,MD,18314,4718779,221.0,0.1854331745386716,#0C0786
275,2013,WELLS FARGO BANK NA,VA,24439,6309730,216.0,0.19706449412972532,#0C0786
276,2013,WELLS FARGO BANK NA,WV,1327,223326,156.0,0.13305783499055357,#0C0786
277,2014,1ST MARINER BANK,DC,133,58124,417.0,0.019551286471555206,#EA7455
278,2014,1ST MARINER BANK,DE,53,10031,160.0,0.009537963586297129,#EA7455
279,2014,1ST MARINER BANK,MD,1467,422301,265.0,0.02947677761719033,#EA7455
280,2014,1ST MARINER BANK,VA,337,127247,365.0,0.00549238101387816,#EA7455
